"country","subregion","region","status","species","species_functional_group","marine_inland","scale","catch_avg_annuaL_tonnes","mu","lower95","upper95","lower50","upper50","n_targets","cost_caloric_adequacy","nutrient_adequacy","portion_adq33","usd_adq33"
"Turkey","Western Asia","Asia","Upper middle income","Argyrosomus regius","Miscellaneous coastal fishes","Marine","Small-scale",7.0388,4.49931696985633,4.2108304305669,4.77788578116102,4.40131070188985,4.59399754279078,3,89.9556678794711,28.9690594910493,113.914640584711,102.472675750476
"South Africa","Southern Africa","Africa","Upper middle income","Argyrozona argyrozona","Miscellaneous coastal fishes","Marine","Small-scale",475.1,4.1419396589367,3.60992270147984,4.63702290652868,3.98464270901789,4.34388111548156,3,62.9247557202956,26.1761251589151,126.069079360132,79.3286602261883
"Mexico","North America","Americas","Upper middle income","Mixed","Miscellaneous coastal fishes","Inland","Small-scale",2.320075,3.25009840534184,3.16296465807619,3.34013502543224,3.22173719269037,3.28257590934627,4,25.7928779492848,31.120735211033,106.038625939341,27.3504133676328
"Ghana","Western Africa","Africa","Lower middle income","Mixed","Miscellaneous coastal fishes","Marine","Small-scale",3.77,3.34008997354857,3.17789417998848,3.48781690493724,3.28273119141552,3.38917099793383,4,28.2216657945995,31.120735211033,106.038625939341,29.9258666257862
"Mexico","North America","Americas","Upper middle income","Mixed","Miscellaneous coastal fishes","Marine","Small-scale",968.147419885,3.21947626967206,3.12772735784716,3.31384729217406,3.19288519886208,3.2557500284114,4,25.0150156276732,31.120735211033,106.038625939341,26.525578850096
"Senegal","Western Africa","Africa","Lower middle income","Ariopsis assimilis","Miscellaneous coastal fishes","Marine","Small-scale",7206.87,3.05752558631992,2.53171946780826,3.59537321468873,2.87592789181362,3.23943555730076,4,21.2748492003661,33.9982939364477,97.0636940244302,20.6501545320023
"Mexico","North America","Americas","Upper middle income","Ariopsis guatemalensis","Miscellaneous coastal fishes","Inland","Small-scale",28.938923051,3.02880318308933,2.55404626981822,3.5052601737802,2.8691981891887,3.19648322495058,4,20.6724766085657,31.8599237136906,103.578402436097,21.4122210151282
"Mexico","North America","Americas","Upper middle income","Ariopsis guatemalensis","Miscellaneous coastal fishes","Marine","Small-scale",710.944167825,3.01244370014723,2.51960895526671,3.4746232671665,2.82382313901105,3.15181158077366,4,20.3370368716304,31.8599237136906,103.578402436097,21.0647778944748
"Senegal","Western Africa","Africa","Lower middle income","Mixed","Miscellaneous coastal fishes","Inland","Small-scale",60.766,3.30672544650302,3.21306747372825,3.39556593555511,3.27493429975442,3.33678352546916,4,27.2955980746477,32.9580333171306,100.127333698785,27.3303545692816
"Gambia","Western Africa","Africa","Low income","Mixed","Miscellaneous coastal fishes","Marine","Small-scale",2104.54,3.04990274613932,2.92748812898211,3.16467100949364,3.01518137532367,3.09697148450795,4,21.1132909736306,32.9580333171306,100.127333698785,21.1401753079625
